"Reference","URN","Version"
"AF152654   ","142022","1"
"AF152654   ","142149","1"
"AF152769   ","136497","1"
"AF152769   ","142204","1"
"AF152769   ","142220","1"
"AF152969   ","138002","1"
"AF152969   ","140813","1"
"AF153571   ","136394","1"
"AF153571   ","140353","1"
"AF153571   ","140403","1"
"AF153571   ","142190","1"
"AF153654   ","140520","1"
"AF153654   ","141628","1"
"AF153654   ","141629","1"
"AF153654   ","142156","1"
"AF153654   ","142162","1"
"AF153844   ","140427","2"
"AF154261   ","141651","1"
"AF154261   ","141683","1"
"AF155396   ","142177","1"
"AF155438   ","142437","2"
"AF155539   ","142302","1"
"AF156012   ","138222","2"
"AF156155   ","136318","1"
"AF156155   ","137142","1"
"AF156155   ","142389","1"
"AF156333   ","142235","1"
"AF156342   ","138314","1"
"AF156572   ","139435","1"
"AF156572   ","141410","1"
"AF156683   ","141992","1"
"AF156683   ","142195","1"
"AF156683   ","142197","1"
"AF156683   ","142205","1"
"AF156683   ","142211","1"
"AF156683   ","142212","1"
"AF156683   ","142215","1"
"AF156683   ","142217","1"
"AF156808   ","140675","1"
"AF156808   ","142444","1"
"AF156849   ","142136","1"
"AF156849   ","142168","1"
"AF157082   ","142258","2"
"AF157082   ","142259","2"
"AF157082   ","142260","2"
"AF157082   ","142307","2"
"AF157329   ","141984","1"
"AF158126   ","141779","2"
"AF158126   ","141783","2"
"AF158126   ","141856","2"
"AF158953   ","141749","2"
"AF159370   ","142166","1"
"AF159903   ","136406","1"
"AF159903   ","142075","1"
"AF160148   ","136549","1"
"AF160148   ","142037","1"
"AF160149   ","142141","1"
"AF160342   ","140553","1"
"AF160342   ","140646","1"
"AF160442   ","142189","1"
"AF160442   ","142198","1"
"AF160442   ","142201","1"
"AF160488   ","142247","1"
"AF160488   ","142248","1"
"AF160488   ","142249","1"
"AF160704   ","142308","1"
"AF160704   ","142309","1"
"AF160994   ","141936","2"
"AF161087   ","141766","1"
"AF161087   ","142117","1"
"AF161202   ","142026","1"
"AF161331   ","136917","1"
"AF161555   ","142108","1"
"AF161625   ","142071","2"
"AF161693   ","139788","1"
"AF161693   ","142219","1"
"AF161815   ","142015","1"
"AF161815   ","142094","1"
"AF161834   ","136821","1"
"AF162851   ","137665","1"
"AF162851   ","142044","1"
"AF162890   ","136361","1"
"AF162890   ","138365","1"
"AF162890   ","141363","1"
"AF162962   ","141902","1"
"AF163446   ","141058","1"
"AF163446   ","141063","1"
"AF163446   ","141064","1"
"AF163446   ","141066","1"
"AF163551   ","138730","1"
"AF163551   ","141911","1"
"AF163551   ","141919","1"
"AF163551   ","141920","1"
"AF163551   ","141923","1"
"AF163551   ","141928","1"
"AF163560   ","141866","1"
"AF163816   ","140352","1"
"AF163816   ","141988","1"
"AF163952   ","142279","1"
"AF163952   ","142280","1"
"AF163952   ","142281","1"
"AF163952   ","142282","1"
"AF164062   ","142104","1"
"AF164434   ","141947","1"
"AF164497   ","141525","1"
"AF164497   ","142250","1"
"AF164507   ","138141","1"
"AF164507   ","141752","1"
"AF164562   ","136497","1"
"AF164562   ","142204","1"
"AF164562   ","142220","1"
"AF164687   ","142191","1"
"AF164687   ","142200","1"
"AF164687   ","142206","1"
"AF164687   ","142218","1"
"AF164928   ","141013","1"
"AF164964   ","136869","1"
"AF164964   ","142242","1"
"AF165480   ","142237","1"
"AF166256   ","142116","1"
"AF166839   ","140654","1"
"AF166888   ","140549","2"
"AF166888   ","142507","2"
"AF167416   ","142263","1"
"AF167416   ","142264","1"
"AF167416   ","142310","1"
"AF167962   ","138420","1"
"AF167962   ","142397","1"
"AF167962   ","142424","1"
"AF168159   ","137133","1"
"AF168159   ","142271","1"
"AF168629   ","142017","1"
"AF168695   ","142084","1"
"AF169825   ","141975","2"
"AF169825   ","142036","2"
"AF169825   ","142387","2"
"AF170033   ","140686","1"
"AF170039   ","142314","1"
"AF170188   ","138626","1"
"AF170188   ","142076","1"
"AF170212   ","141945","1"
"AF170740   ","141500","1"
"AF170758   ","141883","1"
"AF170928   ","142298","1"
"AF172119   ","142169","2"
"AF172119   ","142170","2"
"AF172489   ","142081","1"
"AF172557   ","140863","2"
"AF172922   ","142009","2"
"AF173805   ","142042","1"
"AF174040   ","142010","1"
"AF174288   ","135631","1"
"AF174288   ","142173","1"
"AF174750   ","140484","2"
"AF175016   ","142051","2"
"AF175242   ","142283","2"
"AF175375   ","138420","2"
"AF175375   ","142498","2"
"AF175613   ","136714","2"
"AF175613   ","140435","2"
"AF175737   ","142174","2"
"AF175805   ","137252","2"
"AF175805   ","141499","2"
"AF175805   ","141995","2"
"AF175910   ","142352","2"
"AF175910   ","142354","2"
"AF176009   ","141941","2"
"AF176710   ","139000","2"
"AF176710   ","139602","2"
"AF176710   ","140381","2"
"AF176710   ","141203","2"
"AF176710   ","141699","2"
"AF176838   ","142298","2"
"AF176838   ","142299","2"
"AF176838   ","142300","2"
"AF176838   ","142301","2"
"AF177439   ","142109","2"
"AF177642   ","138557","2"
"AF177642   ","141997","2"
"AF177642   ","141998","2"
"AF177642   ","141999","2"
"AF177862   ","142196","2"
"AF178629   ","141819","2"
"AF178629   ","141842","2"
"AF178629   ","141849","2"
"AF178922   ","138642","2"
"AF178922   ","141736","2"
"AF179154   ","141813","2"
"AF179514   ","142072","2"
"AF179755   ","139883","2"
"AF179755   ","142028","2"
"AF180639   ","136769","2"
"AF180639   ","142404","2"
"AF181656   ","136464","2"
"AF181656   ","142033","2"
"AF182013   ","139491","2"
"AF182013   ","142005","2"
"AF182497   ","139130","2"
"AF182497   ","142055","2"
"AF183466   ","141303","2"
